Vendor,Document,Waybill,Shop Address,Amount,Date,Status
Thief River Falls,US-MN,SD-05,37 Hanson Avenue,1119,10/27/2022,1480
,AU-WA,CK-U-A,5041 Bluejay Trail,,9/4/2022,26
Linköping,SE-E,US-AK,51 Shelley Trail,172,4/9/2023,41
Galway,IE-G,TJ-SU,49 Manley Parkway,81,11/24/2022,1450
Puntarenas,CR-P,PG-EBR,67 Iowa Trail,7,4/22/2023,20
Waco,US-TX,NC-U-A,4 Ohio Lane,470,10/30/2022,10
Gitega,BI-GI,AU-QLD,9800 8th Lane,5741,11/8/2022,90
Innsbruck,AT-7,ST-S,6820 Parkside Alley,1907,1/4/2023,
Mitchell,US-SD,CA-QC,2724 Monterey Park,1304,2/10/2023,24
Toulon/Hyères/Le Palyvestre,FR-U,US-VA,92 Grasskamp Circle,7,8/14/2022,709
St. Petersburg,RU-SPE,ID-JB,2868 Arkansas Circle,78,10/27/2022,89
Portage Creek,US-AK,US-ME,3 Stephen Center,137,5/10/2022,244
,AU-NSW,GE-AJ,5078 Sycamore Terrace,966,2/8/2023,105
Thompson,CA-MB,TH-41,69 Granby Terrace,729,2/5/2023,
Dawei,MM-05,US-AK,56955 Elgar Avenue,84,4/24/2022,291
Opuwa,NA-KU,GL-U-A,2 Golf View Point,3770,5/25/2022,91
Casper,US-WY,AR-P,9182 Swallow Hill,5350,9/13/2022,206
Terrace Bay,NA-KU,CO-CAS,01 Northview Parkway,32,12/9/2022,551
Bilbao,ES-PV,YE-AD,890 Manufacturers Terrace,138,9/13/2022,7
Clarinda,US-IA,PY-11,95 Park Meadow Way,996,7/17/2022,292
Perry,US-IA,BR-PA,36677 Dayton Way,1013,10/10/2022,262
Altamira,BR-PA,ET-AM,3 Sunfield Way,369,8/7/2022,8136
Greenwood,US-MS,CO-CUN,76 Ridgeview Court,162,10/11/2022,1315
Shangrao,CN-36,PG-MPM,237 Jay Road,340,9/9/2022,6790
Odessa,UA-51,CA-ON,586 Rigney Park,172,11/27/2022,1354
Palacios,US-TX,DE-RP,09172 Elmside Avenue,14,10/22/2022,1649
,CD-BN,US-MT,15 Portage Lane,1063,1/7/2023,3680
,CD-OR,BR-MT,459 Caliangt Plaza,1378,10/20/2022,1083
,AU-VIC,ID-NT,10 Mayer Lane,282,2/3/2023,1027
Malamala,ZA-NP,US-HI,2 Prairieview Place,1124,5/19/2022,256
Shanghai,CN-31,VN-23,3 Farragut Plaza,13,11/15/2022,33
Franklin,US-VA,EG-C,96 Nelson Hill,41,10/4/2022,382
Napakiak,US-AK,TH-31,3439 Randy Road,17,10/2/2022,590
Semey,KZ-VOS,CN-65,717 East Court,761,10/16/2022,4232
Coronation,CA-AB,FR-D,416 Valley Edge Alley,2595,4/24/2022,726
Ghaba,OM-WU,SA-04,82 Cascade Parkway,443,10/14/2022,1174
Khon Kaen,TH-40,PG-JI,53048 Clyde Gallagher Junction,670,6/3/2022,4250
Namsang,MM-17,US-NH,94 Drewry Junction,3100,11/27/2022,1245
Igaliku,GL-U-A,MW-RU,63 Buhler Avenue,,10/14/2022,7759
Branson / Hollister,US-MO,US-WI,27 Stang Hill,940,4/8/2023,1110
Two Harbors,US-CA,BR-MT,34694 Ryan Plaza,,8/30/2022,1035
Bordj Badji Mokhtar,DZ-01,US-NY,7 Lukken Place,1303,1/25/2023,198
Koliganek,US-AK,CA-NL,7679 Clarendon Avenue,269,10/19/2022,74
Margarima,PG-SHM,CH-SG,23 Blackbird Plaza,7291,6/7/2022,1306
Waana,PK-TA,CO-ANT,7019 Pleasure Pass,4550,11/12/2022,6955
Fare,PF-U-A,CN-65,37 Bonner Parkway,7,4/5/2023,934
Pastos Bons,BR-MA,CL-MA,2 Park Meadow Center,197,9/14/2022,217
Desroches Island,SC-15,TZ-02,6294 Sherman Center,10,10/1/2022,182
Kankan,GN-K,CN-52,6306 Crownhardt Plaza,1234,10/27/2022,
,AU-NT,SE-Y,260 Forest Dale Hill,,5/24/2022,16
Big Rapids,US-MI,SO-GE,6 Holmberg Circle,990,9/13/2022,755
Anvik,US-AK,US-WI,3 Lakewood Gardens Circle,291,1/25/2023,661
,AU-QLD,IR-18,82362 Morningstar Terrace,61,5/13/2022,2414
Cross City,US-FL,RU-KHM,5 Barby Court,42,12/12/2022,98
Cananea,MX-SON,AU-QLD,7186 Northfield Hill,4921,1/2/2023,1585
Hrodna,BY-HR,CA-MB,28122 Welch Avenue,443,6/26/2022,621
Parakou,BJ-BO,MV-29,48 Anthes Place,1266,6/13/2022,17
Banyuwangi,ID-JI,TD-KA,95 Erie Way,112,5/17/2022,984
Kasba Lake,CA-NT,US-IN,4714 Carey Place,1131,8/21/2022,812
Bella Union,UY-AR,CA-SK,846 Swallow Alley,70,12/14/2022,1405
